districtID,totalPop,male,female,medianAge,18andOver,65andOver,singleRace,black,nativeAmericanAlaskan,asian,pacificIslander,otherRace,multiRace,hispanic,nativeBorn,foreignBorn,Unnamed: 17
alabama1,715346,344543,370803,40.3,552917,127083,702333,196891,6992,10627,183,7691,13013,24141,693956,21390,
alabama2,678122,326346,351776,38.8,524810,115362,663115,217977,2838,7442,26,8158,15007,24953,659525,18597,
alabama3,708409,345941,362468,39.2,554393,119519,695576,183949,1300,13049,0,6291,12833,22102,688990,19419,
alabama4,686297,336349,349948,40.5,530790,128143,670732,51171,4391,3072,677,20337,15565,44731,662635,23662,
alabama5,725634,359028,366606,39.5,567616,119725,706273,130913,3123,12215,160,19959,19361,38726,695444,30190,
alabama6,713595,346642,366953,40.0,552559,119052,697348,109254,1512,13683,545,15654,16247,33522,681800,31795,
alabama7,660468,310422,350046,36.4,515681,100779,651483,416885,1907,5007,206,5937,8985,23310,642954,17514,
alaska1,737438,382952,354486,34.9,553978,88000,675242,25197,111371,46381,7958,9780,62196,53069,676654,60784,
arizona1,770392,388546,381846,38.4,592187,148829,741752,19319,180970,11798,1188,24250,28640,177124,722968,47424,
arizona2,724747,357878,366869,40.9,582856,157202,688737,28469,13349,21765,1139,39945,36010,211844,646802,77945,
arizona3,798359,401906,396453,32.4,586774,99419,762857,40208,40005,16746,2281,99418,35502,506933,628244,170115,
arizona4,809426,405816,403610,48.5,658309,224318,782681,14247,11383,11679,2348,19206,26745,160649,750466,58960,
arizona5,841344,412423,428921,38.2,623120,141143,811278,35213,10581,41526,1031,22035,30066,146748,759540,81804,
arizona6,783621,386905,396716,42.7,627417,149354,757829,26842,12702,35839,838,18430,25792,140297,676796,106825,
arizona7,854749,427152,427597,29.1,595184,60596,818685,82671,30209,19817,176,78407,36064,548361,637696,217053,
arizona8,794820,381950,412870,43.2,626839,183219,764523,39285,6764,33004,2259,26855,30297,160989,719789,75031,
arizona9,794188,402553,391635,34.1,636961,95023,756324,50086,24636,45699,4401,45142,37864,213397,669070,125118,
